"0771074670";"Nights Below Station Street";"David Adams Richards";"1988";"Emblem Editions";"http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg"
"080652121X";"Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust";"Adam Lebor";"2000";"Citadel Press";"http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg"
"0887841740";"The Middle Stories";"Sheila Heti";"2004";"House of Anansi Press";"http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg"
"1552041778";"Jane Doe";"R. J. Kaiser";"1999";"Mira Books";"http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg"
"1558746218";"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)";"Jack Canfield";"1998";"Health Communications";"http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg"
"1567407781";"The Witchfinder (Amos Walker Mystery Series)";"Loren D. Estleman";"1998";"Brilliance Audio - Trade";"http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg"
"1575663937";"More Cunning Than Man: A Social History of Rats and Man";"Robert Hendrickson";"1999";"Kensington Publishing Corp.";"http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg"
"1881320189";"Goodbye to the Buttermilk Sky";"Julia Oliver";"1994";"River City Pub";"http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg"
"0440234743";"The Testament";"John Grisham";"1999";"Dell";"http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg"
"0452264464";"Beloved (Plume Contemporary Fiction)";"Toni Morrison";"1994";"Plume";"http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg"
"0609804618";"Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source";"The Onion";"1999";"Three Rivers Press";"http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg"
"1841721522";"New Vegetarian: Bold and Beautiful Recipes for Every Occasion";"Celia Brooks Brown";"2001";"Ryland Peters &amp; Small Ltd";"http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg"
"1879384493";"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself";"J. R. Parrish";"2003";"Cypress House";"http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg"
"0061076031";"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";"2000";"HarperEntertainment";"http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg"
"0439095026";"Tell Me This Isn't Happening";"Robynn Clairday";"1999";"Scholastic";"http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg"
"0689821166";"Flood : Mississippi 1927";"Kathleen Duey";"1998";"Aladdin";"http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg"
"0971880107";"Wild Animus";"Rich Shapero";"2004";"Too Far";"http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg"
"0345402871";"Airframe";"Michael Crichton";"1997";"Ballantine Books";"http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg"
"0345417623";"Timeline";"MICHAEL CRICHTON";"2000";"Ballantine Books";"http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg"
"0684823802";"OUT OF THE SILENT PLANET";"C.S. Lewis";"1996";"Scribner";"http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg"
"0375759778";"Prague : A Novel";"ARTHUR PHILLIPS";"2003";"Random House Trade Paperbacks";"http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg"
